ID,Title,Year,Image,Pages
230375,Nop,2022,https://pics.filmaffinity.com/nope-999319780-msmall.jpg,36
748908,Uncharted,2022,https://pics.filmaffinity.com/uncharted-417211360-msmall.jpg,22
206372,Stranger Things 4,2022,https://pics.filmaffinity.com/stranger_things_4-530118338-msmall.jpg,12
441844,Smile,2022,https://pics.filmaffinity.com/smile-843278209-msmall.jpg,27
948192,The Bear,2022,https://pics.filmaffinity.com/the_bear-982511761-msmall.jpg,12
216826,Los Fabelman,2022,https://pics.filmaffinity.com/the_fabelmans-208653241-msmall.jpg,28
896906,Red,2022,https://pics.filmaffinity.com/turning_red-326602450-msmall.jpg,12
847055,Dune,2021,https://pics.filmaffinity.com/dune-209834814-msmall.jpg,75
521393,No mires arriba,2021,https://pics.filmaffinity.com/don_t_look_up-492729563-msmall.jpg,64
540777,El juego del calamar,2021,https://pics.filmaffinity.com/squid_game-688981365-msmall.jpg,31
491812,Spider-Man: No Way Home,2021,https://pics.filmaffinity.com/spider_man_no_way_home-642739124-msmall.jpg,51
925403,El buen patrón,2021,https://pics.filmaffinity.com/el_buen_patron-709915657-msmall.jpg,38
315057,El poder del perro,2021,https://pics.filmaffinity.com/the_power_of_the_dog-646166187-msmall.jpg,39
299644,El último duelo,2021,https://pics.filmaffinity.com/the_last_duel-563139924-msmall.jpg,38
310747,Mare of Easttown,2021,https://pics.filmaffinity.com/mare_of_easttown-736704836-msmall.jpg,16
326817,Tiempo,2021,https://pics.filmaffinity.com/old-485235995-msmall.jpg,41
907561,Nadie,2021,https://pics.filmaffinity.com/nobody-390795243-msmall.jpg,27
775531,Luca,2021,https://pics.filmaffinity.com/luca-907827591-msmall.jpg,17
124669,El Escuadrón Suicida,2021,https://pics.filmaffinity.com/the_suicide_squad-629689677-msmall.jpg,28
996278,Viuda negra,2021,https://pics.filmaffinity.com/black_widow-372790622-msmall.jpg,30
535533,Sin tiempo para morir,2021,https://pics.filmaffinity.com/no_time_to_die-525355918-msmall.jpg,47
695092,Cruella,2021,https://pics.filmaffinity.com/cruella-196211257-msmall.jpg,22
994765,Bajocero,2021,https://pics.filmaffinity.com/bajocero-777287160-msmall.jpg,25
799681,Encanto,2021,https://pics.filmaffinity.com/encanto-246546841-msmall.jpg,22
923498,Free Guy,2021,https://pics.filmaffinity.com/free_guy-297648487-msmall.jpg,30
571166,Licorice Pizza,2021,https://pics.filmaffinity.com/licorice_pizza-862632135-msmall.jpg,32
534787,Las leyes de la frontera,2021,https://pics.filmaffinity.com/las_leyes_de_la_frontera-666264674-msmall.jpg,16
185733,Eternals,2021,https://pics.filmaffinity.com/eternals-388789083-msmall.jpg,29
517462,Matrix Resurrections,2021,https://pics.filmaffinity.com/the_matrix_resurrections-864937945-msmall.jpg,53
727076,La Liga de la Justicia de Zack Snyder,2021,https://pics.filmaffinity.com/zack_snyder_s_justice_league-554207771-msmall.jpg,35
822303,Última noche en el Soho,2021,https://pics.filmaffinity.com/last_night_in_soho-749682871-msmall.jpg,28
242779,Madres paralelas,2021,https://pics.filmaffinity.com/madres_paralelas-335287792-msmall.jpg,39
404534,Shang-Chi y la leyenda de los diez anillos,2021,https://pics.filmaffinity.com/shang_chi_and_the_legend_of_the_ten_rings-111813706-msmall.jpg,20
818283,La peor persona del mundo,2021,https://pics.filmaffinity.com/verdens_verste_menneske-473030750-msmall.jpg,23
375190,Maixabel,2021,https://pics.filmaffinity.com/maixabel-491379276-msmall.jpg,21
580527,El método Williams,2021,https://pics.filmaffinity.com/king_richard-212327278-msmall.jpg,18
824903,Bruja Escarlata y Visión,2021,https://pics.filmaffinity.com/wandavision-568232831-msmall.jpg,19
